1-cysPrx_C	80,189,172
120_Rick_ant	48,191,158
12TM_1	189,108,224
14-3-3	214,178,91
17kDa_Anti_2	174,86,192
2-Hacid_dh	206,67,138
2-Hacid_dh_C	192,197,93
2-oxoacid_dh	204,74,202
2-oxogl_dehyd_N	183,163,81
2-ph_phosp	220,64,160
23ISL	91,196,85
23S_rRNA_IVP	128,221,85
2CSK_N	207,229,84
2C_adapt	86,99,216
2Fe-2S_Ferredox	183,203,57
2Fe-2S_thioredx	174,90,196
2H-phosphodiest	48,193,87
2HCT	105,189,92
2OG-FeII_Oxy	184,68,180
2OG-FeII_Oxy_2	182,67,194
2OG-FeII_Oxy_3	163,67,223
2OG-FeII_Oxy_4	200,65,164
2OG-FeII_Oxy_5	116,189,68
2OG-Fe_Oxy_2	201,88,89
2TM	201,207,72
2_5_RNA_ligase2	67,81,196
3-HAO	190,209,62
3-PAP	91,196,125
3-alpha	90,182,89
3-dmu-9_3-mt	64,57,201
30K_MP_C_Ter	201,65,131
30K_MP_core	67,54,207
3A	82,186,136
3Beta_HSD	212,81,225
3D	74,224,71
3H	68,200,174
3HBOH	219,132,97
3HCDH	180,78,60
3HCDH_N	212,65,199
3HCDH_RFF	62,183,81
40S_S4_C	185,198,62
40S_SA_C	200,168,74
4F5	220,95,212
4HB	115,80,189
4HBT	143,103,215
4HBT_2	213,114,82
4HBT_3	136,87,203
4HB_MCP_1	100,214,134
4HFCP_synth	53,182,128
4HPAD_g_N	154,73,195
4PPT_N	71,179,65
4_1_CTD	144,55,189
5-FTHF_cyc-lig	201,76,201
5-nucleotidase	184,130,52
53-BP1_Tudor	89,205,151
5HT_transport_N	98,209,176
5TM-5TMR_LYT	94,224,226
5_3_exonuc	106,160,224
5_3_exonuc_N	118,228,108
5_nucleotid	193,103,88
5_nucleotid_C	215,156,101
60KD_IMP	96,226,149
6PF2K	160,73,193
6PGD	57,119,210
7TM-7TMR_HD	52,204,129
7TMR-DISMED2	81,107,202
7TMR-DISM_7TM	219,101,148
7TMR-HDED	81,215,147
7TM_GPCR_Sra	192,59,75
7TM_GPCR_Srab	83,180,176
7TM_GPCR_Srb	55,179,60
7TM_GPCR_Srbc	134,93,199
7TM_GPCR_Srd	193,67,91
7TM_GPCR_Srh	185,78,148
7TM_GPCR_Sri	206,114,66
7TM_GPCR_Srj	68,193,193
7TM_GPCR_Srsx	79,124,218
7TM_GPCR_Srt	177,196,76
7TM_GPCR_Sru	147,217,76
7TM_GPCR_Srv	68,192,110
