1-cysPrx_C	159,78,55	#9f4e37
10_blade	147,52,83	#933453
117-like_vir	193,207,115	#c1cf73
120_Rick_ant	200,126,106	#c87e6a
12TM_1	197,103,77	#c5674d
14-3-3	96,170,60	#60aa3c
17kDa_Anti_2	160,35,91	#a0235b
2-Hacid_dh	174,110,122	#ae6e7a
2-Hacid_dh_C	116,73,81	#744951
2-oxoacid_dh	204,74,202	#cc4aca
2-oxogl_dehyd_N	222,107,75	#de6b4b
2-ph_phosp	154,93,77	#9a5d4d
2-thiour_desulf	218,107,76	#da6b4c
23ISL	225,138,114	#e18a72
23S_rRNA_IVP	167,143,53	#a78f35
2B_soluble	160,77,53	#a04d35
2CSK_N	126,133,35	#7e8523
2C_adapt	213,128,105	#d58069
2CompARG	47,236,42	#2fec2a
2CompART	148,160,49	#94a031
2EXR	223,105,72	#df6948
2Fe-2S_Ferredox	199,128,109	#c7806d
2Fe-2S_thioredx	143,49,31	#8f311f
2H-SAK	91,148,154	#5b949a
2H-phosphodiest	55,132,140	#37848c
2HCT	93,153,130	#5d9982
2L_N_poxvirus	136,49,175	#8831af
2OG-FeII_Oxy	63,100,171	#3f64ab
2OG-FeII_Oxy_2	91,118,171	#5b76ab
2OG-FeII_Oxy_3	77,99,141	#4d638d
2OG-FeII_Oxy_4	72,88,119	#485877
2OG-FeII_Oxy_5	73,113,190	#4971be
2OG-FeII_Oxy_6	99,124,173	#637cad
2OG-Fe_Oxy_2	102,130,186	#6682ba
2TM	210,108,79	#d26c4f
2TM_P5A-ATPase	159,75,52	#9f4b34
2_5_RNA_ligase2	74,128,133	#4a8085
3-HAO	71,89,123	#47597b
3-PAP	152,75,53	#984b35
3-alpha	90,182,89	#5ab659
3-dmu-9_3-mt	165,101,114	#a56572
30K_MP_C_Ter	202,120,97	#ca7861
30K_MP_core	132,153,37	#849925
3A	57,50,202	#3932ca
3Beta_HSD	121,75,83	#794b53
3D	51,171,113	#33ab71
3H	162,78,55	#a24e37
3HBD	140,92,79	#8c5c4f
3HBOH	84,144,128	#549080
3HCDH	228,219,117	#e4db75
3HCDH_N	112,45,57	#702d39
3HCDH_RFF	171,97,110	#ab616e
3keto-disac_hyd	117,138,84	#758a54
40S_S4_C	220,139,116	#dc8b74
40S_SA_C	137,90,78	#895a4e
4F5	220,95,212	#dc5fd4
4HB	203,134,115	#cb8673
4HBT	151,110,178	#976eb2
4HBT_2	115,78,139	#734e8b
4HBT_3	105,60,135	#693c87
4HBT_3C	124,92,145	#7c5c91
4HB_KIF14	149,70,48	#954630
4HB_MCP_1	139,48,60	#8b303c
4HFCP_synth	235,187,130	#ebbb82
4HPAD_g_N	214,140,119	#d68c77
4PPT_N	129,168,95	#81a85f
4_1_CTD	160,98,81	#a06251
5-FTHF_cyc-lig	174,111,123	#ae6f7b
5-nucleotidase	206,103,74	#ce674a
53-BP1_Tudor	69,168,69	#45a845
56B_RHH	98,151,234	#6297ea
5HT_transport_N	215,143,123	#d78f7b
5TM-5TMR_LYT	124,188,196	#7cbcc4
5_3_exonuc	126,65,45	#7e412d
5_3_exonuc_N	214,70,170	#d646aa
5_nucleotid	134,97,72	#866148
5_nucleotid_C	115,88,174	#7358ae
60KD_IMP	82,132,188	#5284bc
6PF2K	86,181,207	#56b5cf
6PGD	206,194,64	#cec240
6PGD_like	161,152,55	#a19837
7TM-7TMR_HD	134,176,99	#86b063
7TMR-DISMED2	69,94,114	#455e72
7TMR-DISM_7TM	152,243,76	#98f34c
7TMR-HDED	205,134,115	#cd8673
7TM_GPCR_Sra	92,151,44	#5c972c
7TM_GPCR_Srab	107,166,57	#6ba639
7TM_GPCR_Srb	115,154,82	#739a52
7TM_GPCR_Srbc	155,243,81	#9bf351
7TM_GPCR_Srd	116,154,84	#749a54
7TM_GPCR_Srh	120,164,83	#78a453
7TM_GPCR_Sri	144,219,81	#90db51
7TM_GPCR_Srj	111,176,57	#6fb039
7TM_GPCR_Srsx	168,234,112	#a8ea70
7TM_GPCR_Srt	143,225,75	#8fe14b
7TM_GPCR_Sru	182,244,130	#b6f482
7TM_GPCR_Srv	139,216,75	#8bd84b
7TM_GPCR_Srw	167,231,113	#a7e771
7TM_GPCR_Srx	160,244,91	#a0f45b
7TM_GPCR_Srz	101,159,53	#659f35
7TM_GPCR_Str	167,224,120	#a7e078
7TM_transglut	162,106,90	#a26a5a
7kD_DNA_binding	68,240,68	#44f044
7tm_1	106,163,59	#6aa33b
7tm_2	116,155,83	#749b53
7tm_3	164,221,117	#a4dd75
7tm_4	132,180,92	#84b45c
7tm_6	95,136,223	#5f88df
7tm_7	85,104,146	#556892
8TM_micro	226,117,87	#e27557
8xMP	196,101,75	#c4654b
A-2_8-polyST	112,56,165	#7038a5
A-ATP_synth_H_N	163,76,52	#a34c34
A-sol_ELP1	150,211,120	#96d378
A1_Propeptide	148,72,51	#944833
A24_N_bact	211,130,108	#d3826c
A2L_zn_ribbon	112,95,30	#705f1e
A2M	117,60,173	#753cad
A2MG_CUB	243,101,225	#f365e1
A2M_BRD	107,59,154	#6b3b9a
A2M_bMG2	136,99,172	#8863ac
A2M_recep	112,63,161	#703fa1
A9CJY8-like_N	206,228,83	#cee453
AA9	136,95,176	#885fb0
AAA	84,186,214	#54bad6
AAA-ATPase_like	66,141,161	#428da1
AAA_10	57,194,232	#39c2e8
AAA_11	31,134,162	#1f86a2
AAA_12	95,199,228	#5fc7e4
AAA_13	72,141,160	#488da0
AAA_14	36,177,216	#24b1d8
AAA_15	91,190,218	#5bbeda
AAA_16	43,139,165	#2b8ba5
AAA_17	62,132,152	#3e8498
AAA_18	99,206,236	#63ceec
AAA_19	64,133,153	#408599
AAA_2	41,192,234	#29c0ea
AAA_21	81,151,170	#5197aa
AAA_22	40,175,212	#28afd4
AAA_23	88,181,206	#58b5ce
AAA_24	83,192,222	#53c0de
AAA_25	74,143,162	#4a8fa2
AAA_26	51,177,212	#33b1d4
AAA_27	64,145,167	#4091a7
AAA_28	105,203,230	#69cbe6
AAA_29	46,176,211	#2eb0d3
AAA_3	26,127,154	#1a7f9a
AAA_30	79,178,206	#4fb2ce
AAA_31	54,126,146	#367e92
AAA_32	47,183,221	#2fb7dd
AAA_33	41,136,162	#2988a2
AAA_34	90,191,219	#5abfdb
AAA_35	43,177,214	#2bb1d6
AAA_5	41,141,168	#298da8
AAA_6	100,192,217	#64c0d9
AAA_7	38,133,159	#26859f
AAA_8	53,194,233	#35c2e9
AAA_9	36,186,227	#24bae3
AAA_PrkA	35,189,231	#23bde7
AAA_assoc	215,139,118	#d78b76
AAA_assoc_2	193,234,111	#c1ea6f
AAA_assoc_C	198,89,59	#c6593b
AAA_lid_1	128,155,74	#809b4a
AAA_lid_10	124,171,30	#7cab1e
AAA_lid_11	178,218,99	#b2da63
AAA_lid_12	115,160,26	#73a01a
AAA_lid_13	137,166,80	#89a650
AAA_lid_2	158,215,46	#9ed72e
AAA_lid_3	123,152,63	#7b983f
AAA_lid_4	157,216,41	#9dd829
AAA_lid_5	181,218,106	#b5da6a
AAA_lid_6	153,207,46	#99cf2e
AAA_lid_7	124,167,40	#7ca728
AAA_lid_8	177,219,93	#b1db5d
AAA_lid_9	172,208,100	#acd064
AAA_lid_PRS2_C	115,143,61	#738f3d
AAA_lid_TRIP13_C	122,170,27	#7aaa1b
AAL_decarboxy	37,64,154	#25409a
AAR2	88,146,60	#58923c
AAR2_1st	211,104,74	#d3684a
AARP2CN	162,212,89	#a2d459
AASDHPPT_N	176,222,136	#b0de88
AAT	92,147,228	#5c93e4
AATF-Che1	202,104,76	#ca684c
AATase	149,38,147	#952693
AA_kinase	163,83,61	#a3533d
AA_permease	40,48,138	#28308a
AA_permease_2	75,85,206	#4b55ce
AA_permease_C	42,49,134	#2a3186
AA_permease_N	203,96,66	#cb6042
AA_synth	217,133,110	#d9856e
ABA4-like	212,100,69	#d46445
ABATE	223,138,115	#df8a73
ABA_GPCR	152,100,85	#986455
ABA_WDS	164,102,85	#a46655
ABC-3	101,110,172	#656eac
ABC1	40,135,37	#288725
ABC2_membrane	218,100,68	#da6444
ABC2_membrane_2	219,146,125	#db927d
ABC2_membrane_3	200,96,67	#c86043
ABC2_membrane_4	146,87,71	#925747
ABC2_membrane_5	217,105,74	#d9694a
ABC2_membrane_6	215,140,119	#d78c77
ABC2_membrane_7	143,91,77	#8f5b4d
ABCA12_C	142,75,120	#8e4b78
ABCC10_N	72,128,108	#48806c
ABC_AB	186,86,145	#ba5691
ABC_ATPase	74,142,161	#4a8ea1
ABC_C	151,76,120	#974c78
ABC_N	152,141,44	#988d2c
ABC_cobalt	211,94,62	#d35e3e
ABC_export	211,127,104	#d37f68
ABC_membrane	149,226,73	#95e249
ABC_membrane_2	194,61,179	#c23db3
ABC_membrane_3	197,108,187	#c56cbb
ABC_sub_bind	205,86,146	#cd5692
ABC_toxin_N	214,105,74	#d6694a
ABC_tran	129,201,63	#81c93f
ABC_tran_2	220,110,79	#dc6e4f
ABC_tran_CTD	146,88,72	#925848
ABC_tran_Xtn	38,139,166	#268ba6
ABC_trans_CmpB	222,102,69	#de6645
ABC_trans_N	141,66,45	#8d422d
ABC_trans_aux	103,145,82	#679152
ABC_transp_aux	233,227,126	#e9e37e
ABG_transport	79,50,200	#4f32c8
ABHD16_N	142,64,42	#8e402a
