1-cysPrx_C	PF10417.9	C-terminal domain of 1-Cys peroxiredoxin
120_Rick_ant	PF12574.8	120 KDa Rickettsia surface antigen
12TM_1	PF09847.9	Membrane protein of 12 TMs
14-3-3	PF00244.20	14-3-3 protein
17kDa_Anti_2	PF16998.5	17 kDa outer membrane surface antigen
2-Hacid_dh	PF00389.30	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
2-Hacid_dh_C	PF02826.19	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
2-oxoacid_dh	PF00198.23	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
2-oxogl_dehyd_N	PF16078.5	2-oxoglutarate dehydrogenase N-terminus
2-ph_phosp	PF04029.14	2-phosphosulpholactate phosphatase
23ISL	PF16620.5	Unstructured linker between I-set domains 2 and 3 on MYLCK
23S_rRNA_IVP	PF05635.11	23S rRNA-intervening sequence protein
2CSK_N	PF08521.10	Two-component sensor kinase N-terminal
2C_adapt	PF08793.10	2-cysteine adaptor domain
2Fe-2S_Ferredox	PF11591.8	Ferredoxin chloroplastic transit peptide
2Fe-2S_thioredx	PF01257.19	Thioredoxin-like [2Fe-2S] ferredoxin
2H-phosphodiest	PF08975.10	Domain of unknown function (DUF1868)
2HCT	PF03390.15	2-hydroxycarboxylate transporter family
2OG-FeII_Oxy	PF03171.20	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_2	PF13532.6	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_3	PF13640.6	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_4	PF13661.6	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_5	PF13759.6	Putative 2OG-Fe(II) oxygenase
2OG-Fe_Oxy_2	PF10014.9	2OG-Fe dioxygenase
2TM	PF13239.6	2TM domain
2_5_RNA_ligase2	PF13563.6	2'-5' RNA ligase superfamily
3-alpha	PF03475.14	3-alpha domain
3-dmu-9_3-mt	PF06983.13	3-demethylubiquinone-9 3-methyltransferase
3-HAO	PF06052.12	3-hydroxyanthranilic acid dioxygenase
3-PAP	PF12578.8	Myotubularin-associated protein
30K_MP_core	PF17644.1	Core domain of 30K viral movement proteins
30K_MP_C_Ter	PF11330.8	C-Terminal of 30K viral movement proteins
3A	PF00803.18	3A/RNA2 movement protein family
3Beta_HSD	PF01073.19	3-beta hydroxysteroid dehydrogenase/isomerase family
3D	PF06725.11	3D domain
3H	PF02829.14	3H domain
3HBOH	PF10605.9	3HB-oligomer hydrolase (3HBOH)
3HCDH	PF00725.22	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
3HCDH_N	PF02737.18	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
3HCDH_RFF	PF18321.1	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain
40S_S4_C	PF16121.5	40S ribosomal protein S4 C-terminus
40S_SA_C	PF16122.5	40S ribosomal protein SA C-terminus
4F5	PF04419.14	4F5 protein family
4HB	PF17947.1	Four helical bundle domain
4HBT	PF03061.22	Thioesterase superfamily
4HBT_2	PF13279.6	Thioesterase-like superfamily
4HBT_3	PF13622.6	Thioesterase-like superfamily
4HB_MCP_1	PF12729.7	Four helix bundle sensory module for signal transduction
4HFCP_synth	PF04476.13	4-HFC-P synthase
4HPAD_g_N	PF18671.1	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal
4PPT_N	PF17837.1	4'-phosphopantetheinyl transferase N-terminal domain
4_1_CTD	PF05902.13	4.1 protein C-terminal domain (CTD)
5-FTHF_cyc-lig	PF01812.20	5-formyltetrahydrofolate cyclo-ligase family
5-nucleotidase	PF06189.12	5'-nucleotidase
53-BP1_Tudor	PF09038.10	Tumour suppressor p53-binding protein-1 Tudor
5HT_transport_N	PF03491.13	Serotonin (5-HT) neurotransmitter transporter, N-terminus
