#  ACcession	Source	Alias	IDentifier (Name)	DEscription	Comment
# Included for classification of core biosynthetic proteins:
# PKS:
PF16073.6	Pfam 33.1	SAT	SAT	Starter unit:ACP transacylase in aflatoxin biosynthesis	
PF00109.27	Pfam 33.1	KS	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain	
PF02801.23	Pfam 33.1	KS_C	Ketoacyl-synt_C	Beta-ketoacyl synthase, C-terminal domain	
PF16197.6	Pfam 33.1	KS_Ce	KAsynt_C_assoc	Ketoacyl-synthetase C-terminal extension	
TIGR04532	TIGRFAMs 15	PT	TIGR04532	PT_fungal_PKS: polyketide product template domain	
# PKS reducing domains:
PKS_ER	antiSMASH	ER	PKS_ER	Enoylreductase in Polyketide synthases.	
PF08659.11	Pfam 33.1	KR	KR	KR domain	
PF14765.7	Pfam 33.1	DH	PS-DH	Polyketide synthase dehydratase	
# PKS3:
PF00195.20	Pfam 33.1	ChS_N	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain	
PF02797.16	Pfam 33.1	ChS_C	Chal_sti_synt_C	Chalcone and stilbene synthases, C-terminal domain	
# NRPS:
PF00668.21	Pfam 33.1	C	Condensation	Condensation domain	
PF00501.29	Pfam 33.1	A	AMP-binding	AMP-binding enzyme	
PF13193.7	Pfam 33.1	A_C	AMP-binding_C	AMP-binding enzyme C-terminal domain	
# NIS:
PF04183.13	Pfam 33.1	IucA_IucC	IucA_IucC	IucA / IucC family	NRPS-Independent Siderophore
# Terpenes:
mero_tc	FNP models	TC_mero	mero_tc	Terpene meroterpenoid synthase	
diterpene_tc	FNP models	TC_dit	diterpene_tc	Diterpene synthase
PF13249.7	Pfam 33.1	SQ_hopN	SQHop_cyclase_N	Squalene-hopene cyclase N-terminal domain	Triterpene
PF13243.7	Pfam 33.1	SQ_hopC	SQHop_cyclase_C	Squalene-hopene cyclase C-terminal domain	Triterpene
PF06330.12	Pfam 33.1	SsqTerp	TRI5	Trichodiene synthase (TRI5)	Sesquiterpene
PF19086.1	Pfam 33.1	TrpSynt2	Terpene synthase family 2, C-terminal metal binding	Terpene_syn_C_2	Sesquiterpene
PF00348.18	Pfam 33.1	PPS	polyprenyl_synt	Polyprenyl synthetase	Sesquiterpene bifunctional (together with Terpene_syn_C_2)
PF00494.20	Pfam 33.1	SQS_PSY	SQS_PSY	Squalene/phytoene synthase
TIGR03462	TIGRFAMs 15	LycCyc	TIGR03462	CarR_dom_SF: lycopene cyclase domain	Carotenoid synthase (together with SQS_PSY)
PF01040.19	Pfam 33.1	UbiA	UbiA	UbiA prenyltransferase family	
# Other terpene-related domains
PF01397.22	Pfam 33.1	TrpS	Terpene_synth	Terpene synthase, N-terminal domain	
PF03936.17	Pfam 33.1	TrpS_C	Terpene_synth_C	Terpene synthase family, metal binding domain	
PF05834.13	Pfam 33.1	LycC	Lycopene_cycl	Lycopene cyclase protein	
PF00432.22	Pfam 33.1	Prenyltrans	Prenyltrans	Prenyltransferase and squalene oxidase repeat	
# DMAT
PF11991.9	Pfam 33.1	DMAT	Trp_DMAT	Tryptophan dimethylallyltransferase	
# Other domains (not included)
PF00698.22	Pfam 33.1	AT	Acyl_transf_1	Acyl transferase domain	
PF00550.26	Pfam 33.1	T/ACP	PP-binding	Phosphopantetheine attachment site	(NRPS: T, PKS: ACP)
PF00975.21	Pfam 33.1	TE	Thioesterase	Thioesterase	
PF08242.13	Pfam 33.1	CMeT	Methyltransf_12	Methyltransferase domain	
Epimerization	antiSMASH	E	Epimerization	Epimerization domain for NRPS
Condensation_DCL	antiSMASH	C_T	Condensation_DCL	Terminal condensation domain in NRPS
